Source:,C:\Users\christian.saiz\Documents\0_NOAA\1_NOAA_work\1_XBT\New_Autolauncher\al_kicad_project\AOML_AB_3.0\AOML_AB_3.0_reorganized-v2.kicad_sch,,,,,,,
Date:,4/17/2024 15:53,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,
Component Count:,241,,,,,,,
,,,,,,,,
Collated Components:,,,,,,,,
,,,,,,,,
Item,Qty,Reference(s),Value,Part,Cost,Digikey,Footprint,Datasheet
42,16,"R12, R13, R14, R15, R16, R17, R21, R22, R23, R24, R25, R26, R30, R31, R32, R33",1,RT0805FRE071RL,0.1,https://www.digikey.com/en/products/detail/yageo/RT0805FRE071RL/5934333,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf
43,8,"R18, R19, R20, R27, R28, R29, R34, R35",1M,RC0805FR-131ML,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-131ML/14008312,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
44,8,"R36, R37, R38, R39, R40, R41, R42, R43",330,RC0805FR-10330RL,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-10330RL/13694160,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
45,1,R44,2k,RC0805FR-132KL,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-132KL/14008253,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
46,1,R45,560,RC0805JR-07560RL,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805JR-07560RL/728347,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
47,2,"R46, R47",220,RC0805FR-13220RL,0.1,https://www.digikey.com/en/products/detail/yageo/RC0805FR-13220RL/14008293,Resistor_0805:RC0805N_YAG,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
48,2,"RN1, RN3",10k,YC158TJR-0710KL,0.14,https://www.digikey.com/en/products/detail/yageo/YC158TJR-0710KL/5951826,Resistor_network-10k:SMT_JR-0710KL_YAG,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-yc_tc_group_51_rohs_l.pdf
49,2,"RN2, RN4",10k,YC164-JR-1310KL,0.1,https://www.digikey.com/en/products/detail/yageo/YC164-JR-1310KL/17023153?s=N4IgTCBcDaIJ4GMCMA2ALAWgFYCcNIGYkAGAawBsQBdAXyA,Resistor_network_x4_10k-1204:RESCAXS80P320X160X70-8N,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
50,1,RV1,10k,TC33X-2-103E,0.28,https://www.digikey.com/en/products/detail/bourns-inc/TC33X-2-103E/612858,Potentiometer_10k_smt:POT_TC33_3X3P8_BRN,https://www.bourns.com/docs/Product-Datasheets/TC33.pdf
51,1,SW1,TS02-66-70-BK-160-LCR-D,PTS526 SK15 SMTR2 LFS,0.14,https://www.digikey.com/en/products/detail/c-k/PTS526-SK15-SMTR2-LFS/10056626,Button_switch_smt:SMT_FS,https://www.ckswitches.com/media/2780/pts526.pdf
52,1,SW2,SW_DIP_x03,DS01C-254-L-03BE,0.57,https://www.digikey.com/en/products/detail/cui-devices/DS01C-254-L-03BE/11310858,Dip_switch_DS01C-254-L-03BE:SW_DS01C-254-L-03BE,https://www.cuidevices.com/product/resource/ds01-254.pdf
53,1,TP1,Vin-adc,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
54,1,TP2,MotorCurrent-adc,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
55,1,TP3,D3V3,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
56,1,TP4,A3V3,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
57,3,"TP5, TP7, TP18",GND,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
58,1,TP6,Vin,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
59,2,"TP8, TP16",3V3,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
60,1,TP9,5V,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
61,1,TP13,12V,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
62,1,TP15,Vref,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
63,1,TP17,DIR,,,,TestPoint:TestPoint_Pad_1.0x1.0mm,~
64,1,U1,L7812ABD2T-TR,L7812ABD2T-TR,1.1,https://www.digikey.com/en/products/detail/stmicroelectronics/L7812ABD2T-TR/1038261,Linear_regulator_L7812ABD2T_TR:DPAK_BD2T-TR_STM,https://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf
65,1,U2,LM7805MPX,LM7805MPX/NOPB,1.61,https://www.digikey.com/en/products/detail/texas-instruments/LM7805MPX-NOPB/6110583,Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://www.ti.com/lit/ds/symlink/lm7800.pdf
66,1,U3,MCP1825ST-3302E/DB,MCP1825ST-3302E/DB,0.69,https://www.digikey.com/en/products/detail/microchip-technology/MCP1825ST-3302E-DB/1635518,Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://ww1.microchip.com/downloads/en/DeviceDoc/22056b.pdf
67,1,U4,MAX3232,MAX3232EIPWR,1.07,https://www.digikey.com/en/products/detail/texas-instruments/MAX3232EIPWR/968150?s=N4IgTCBcDa4JwDYC0BGOAWAzMlSByAIiALoC%2BQA,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://datasheets.maximintegrated.com/en/ds/MAX3222-MAX3241.pdf
68,1,U5,INA213AIDCKR,INA213AIDCKR,0.97,https://www.digikey.com/en/products/detail/texas-instruments/INA213AIDCKR/1898607,Current_sense_amp_INA213AIDCKR:DCK0006A_L,http://www.ti.com/lit/ds/symlink/ina181.pdf
69,1,U6,STM32F103RBTx,STM32F103RBT6TR,7.5,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F103RBT6TR/2122443,STM32F103RBT6TR:LQFP64-10x10mm,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1139/STM32F103x8,B.pdf"
70,1,U7,AT24C01D-STUM-T,AT24C01D-STUM-T,0.16,https://www.digikey.com/en/products/detail/microchip-technology/AT24C01D-STUM-T/4914368,Package_TO_SOT_SMD:SOT-23-5,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA01-24LC01B-24FC01-1K-I2C-Serial-EEPROM-20001711M.pdf
71,2,"U8, U9",ULN2003ADR,ULN2003ADR,0.46,https://www.digikey.com/en/products/detail/texas-instruments/ULN2003ADR/277011?s=N4IgTCBcDa4JwDYC0BGAzAgHKpA5AIiALoC%2BQA,Relay_driver_ULN2003ADR:D0016A_L,http://www.ti.com/lit/ds/symlink/uln2003a.pdf
72,8,"U10, U11, U12, U13, U14, U15, U16, U17",TLP170AM,"TLP170AM(TPL,E",1.28,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TLP170AM-TPL-E/12698771,Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm,https://toshiba.semicon-storage.com/info/TLP170AM_datasheet_en_20210524.pdf?did=69016&prodName=TLP170AM
73,1,Y1,8MHz,ABLS-8.000MHZ-20-B-3-H-T,0.17,https://www.digikey.com/en/products/detail/abracon-llc/ABLS-8-000MHZ-20-B-3-H-T/9997852,Crystal_8MHZ_smt:XTAL_ABLS-8.000MHz-20-B-3-H-T,https://abracon.com/Resonators/ABLS.pdf
